,summonerId,accountId,puuid,profileIconId,revisionDate,summonerLevel,tier,queue,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
0,NjlpNEr3hMF2AYDp2eyaIEYb-Wr4y4RBFLGncVk5nNn3,30TbyJ1YjOMZ7qIUzhM2v5QvmBwgSO54_Gyn4NhHE0Y,1xHcB3dGcWANeBntLEWlfxAHR9VPglTSf1qV_TquVnaleVjhdYso2U0Z8T6bHEsUCEQNdDppGEpQ7A,6645,1736212522320,942,CHALLENGER,RANKED_SOLO_5x5,1951,215,142,True,False,False,False
1,69sqzslyKFgEfUHlKP9zy11_xiOoFJGfB__zZfwhHvZX,sh2QEp6BtIjvDv8UVf7OkGM7qA82TijQDZyARywn5uE,4FRogKJxnPLAzhOl4ofD-PN7j-TjWC2LTfxx-i32XL6-qvtHTQGIbUmJ2DCD2IOQW71Huxy7IeuXRA,536,1736239528633,69,CHALLENGER,RANKED_SOLO_5x5,1910,225,93,True,False,False,True
2,fOrbu2n5DtE9qy28qUrgKBaD3jxphGSZx0cuB_xlAA-5cpdYxhY4cmQDvg,O48UBoLL6-qBmr-u8pFi69LKYm9jLLvQai5XWEX1KhI8B2XtZPJCcUaL,s8qcLieY9RtxNGgJ7_cNHb7yM8Y8FJB8NBirXIGwdja2O6ZAIjDASVNBpXDBmeDsw7ZhrNqiwVy4dQ,6766,1735863360000,137,CHALLENGER,RANKED_SOLO_5x5,1899,193,123,True,False,False,False
3,qSW5hRsT6AreMleBadsMhLE-x2jZf-CSeU5Vl-WQFbshx3s,aipFve6sMAghEcvPI_E_DrQxe42J4FJaxae7xRbfzcI5n00,lxDFRePgBH1_H4C9lD0lwixoJNYWgydXZWe-aq42qs7HV_PeOKjkDhz9cZvZ0O4jmoGAANakw2WYRQ,3211,1736266327964,1273,CHALLENGER,RANKED_SOLO_5x5,1848,198,126,True,False,False,True
4,pZshtobloal0wuwCGPR__SVDAWW2H6SWI9gNZ_z_6ePTzPU,yw2JCjoCEEStEYkOLc76rAFMQc91crI0O7tWK4wyDyaLBl8,JhQ8zU4LD8LqD7pG_CxmrU_yqpOvrG6sSUZulZnDBfyP730Bi7TvDX4C4ZsdfZUyrWKDI_S7OwhcVQ,5709,1736263540508,148,CHALLENGER,RANKED_SOLO_5x5,1795,189,120,True,False,False,False
5,lmNM-0LpnxRNbS5NgyzhQY3O6v7aYrfBD-aX2rL6OrclkQ,SHpLjcpVnDX8xtUDu-pAZXTba1o9yTgvqk-ELSf-AyK2Eds,2azJ7A8Kt-OxKc5a3MAbDyuXXuWfeMxrcuOz4EuB2FeRvJeuThbuI1-BopQ8S8Hhwj2gVuT_pRPFtA,18,1736116684000,385,CHALLENGER,RANKED_SOLO_5x5,1682,141,57,True,False,False,False
6,3O3-PKdnHTYNXNrHbpPHNpwdQI3dH4wrAGZJeRBk0GG9Tw,9e9RhtG9T5YEjlMP7pa3MYVKKANz5XK0E6Tu6AwdR94,3GPjIdbRhaQdfa5yc6GFSV_MrfkOXB-uR5vw79DQ8O3uMgCMBMMnaJgN32Tmz_Gm19OGIf9HW07khg,4353,1736259843287,790,CHALLENGER,RANKED_SOLO_5x5,1647,164,106,True,False,False,False
7,hvlutrT4NGxxFRqWvOOiLl-9dAlvHmkds9a039PPihprVxo,ft7ypYikv1S41qBAlxHyY1UxPqsOKsd2j1f-HNTM7u6J2sQ,FCDlhOEy7_NHM0D35KZo7EuinJXc-_QZcLgwNLAhjCwHzqx2p2PQIbVed0YWFFZTVXf_L4FLX3eAaQ,20,1736014679000,467,CHALLENGER,RANKED_SOLO_5x5,1578,259,198,True,False,False,False
8,b6E0VOmSGShpCXnYx4iY2oO98yRFh2tvmIpEhfS9xQOkOSw,BIuwPMQXGnD5ZdesMPMi1DVKMrsBUez518aFqB_pUWfBDi8,IVozP_g_oR94a34gSUnKW2Db3HYWmE9weEtXG9H1qC4d83qh6XUItYaMtPIxTD7aj6E_Z3FJnur-nw,6760,1736266408779,986,CHALLENGER,RANKED_SOLO_5x5,1499,184,130,True,False,False,True
9,tgD5wgZGeMOpENsaw5Cm7a5aqdePhsLvisfIVafxmjWKFJ3eDMh0rdX2gQ,frpWxZYhrPkj6ja7rMp8lZhkMHUjkouXGXiSrcM5LDtIvlr-xQJaq-9Y,15Xw7NEGNCHXRKGD9jsAMvjIAN3HUi3p6Se2pIrOtU7ht-L2cxbJY4zlpcPRqKoR7kPxxxIBvNto_w,29,1735631102000,166,CHALLENGER,RANKED_SOLO_5x5,1479,196,148,True,False,False,False
10,K88Uk_o4rFAdUxb7C67BsyEleVbRTneU01JDNEimFnlYKPk,Yw4KLCVbPfm3L4Zxpxj-KxmffS95eg_yxyc7u9__d7OEsqs,Pw7nyW_-c98pE7Dw06UTXQ3jcF2v_ScwbAVpfE23pKo1DI2GnUlm3wFVpwV6_JqYeU6xAysj6qIZiw,5177,1736261321668,1061,CHALLENGER,RANKED_SOLO_5x5,1471,462,420,True,False,False,False
11,0Tw90LlNgG3d73H9-HNYI0K6nfRlb2UpiKpJgmfSwqn-Ku0,QaA_CPwg4RBovwWbMG-SQnNMJ2ZS0LHbHYFubN1u6wjenWg,vPjbI2TfU9uqD2F77KLj7anBFcmpoYuqou9ME_uGuxyw7jMehL9eohkSEht3zL_YH3AFQmNXazhSHw,6773,1736137642000,870,CHALLENGER,RANKED_SOLO_5x5,1407,386,336,True,False,False,False
