,match_id,game_duration,result,champion_id,champion_name,deaths,control_wards_placed,enemy_missing_pings,enemy_vision_pings,first_blood_kill,first_blood_assist,surrender,early_surrender,gold_spent,role,item0,item1,item2,item3,item4,item5,item6,largest_killing_spree,kills,neutral_minions_killed,stolen_objects,stolen_objects_assist,pentakills,puuid,summoner_name,summoner_level,team_id,total_damage_dealt,total_damage_taken,jungle_stole,total_heal,total_heal_teammate,turret_kills,vision_score,wards_killed,wards_placed,win,assists,buff_stolen,first_turret,kda,kills_near_enemy_turrets,kills_under_turret,multi_kills,outnumbered_kills,save_ally,solo_kills,vision_per_min
0,BR1_3050161105,1626,GameComplete,893,Aurora,5,2,10,13,False,False,False,False,10250,TOP,1058,4646,1058,3020,1082,3118,3363,2,4,2,0,0,0,1xHcB3dGcWANeBntLEWlfxAHR9VPglTSf1qV_TquVnaleVjhdYso2U0Z8T6bHEsUCEQNdDppGEpQ7A,random gap,942,200,28972,21728,0,4262,0,1,22,2,11,False,6,0,1,2.0,2,0,0,1,0,2,0.846804245013187
1,BR1_3049761538,1450,GameComplete,893,Aurora,0,2,17,4,False,False,False,False,12450,MIDDLE,3089,0,4646,3041,3020,3118,3363,12,12,4,0,0,0,1xHcB3dGcWANeBntLEWlfxAHR9VPglTSf1qV_TquVnaleVjhdYso2U0Z8T6bHEsUCEQNdDppGEpQ7A,random gap,942,200,36078,12994,4,5291,0,3,12,2,8,True,8,0,1,20.0,1,2,1,1,0,1,0.5227486690265041
2,BR1_3043274053,1855,GameComplete,893,Aurora,2,3,11,9,False,False,False,False,12975,MIDDLE,3135,1058,4646,3041,3118,3020,3363,5,9,0,0,0,0,1xHcB3dGcWANeBntLEWlfxAHR9VPglTSf1qV_TquVnaleVjhdYso2U0Z8T6bHEsUCEQNdDppGEpQ7A,random gap,941,100,30891,20649,0,3570,0,3,21,3,10,True,6,0,1,7.5,3,1,0,3,0,3,0.7071377639276607
3,BR1_3043251739,2381,GameComplete,166,Akshan,3,1,21,9,False,False,True,False,24075,MIDDLE,3033,3094,3072,3742,6676,3031,3363,6,10,11,0,0,0,1xHcB3dGcWANeBntLEWlfxAHR9VPglTSf1qV_TquVnaleVjhdYso2U0Z8T6bHEsUCEQNdDppGEpQ7A,random gap,941,100,40034,25844,10,7802,0,5,48,6,14,False,3,1,1,4.333333333333333,2,0,4,1,0,1,1.2315291229466394
4,BR1_3042855360,1470,GameComplete,893,Aurora,2,2,10,11,False,False,False,False,10510,MIDDLE,1056,4646,3020,3041,1026,3118,3363,8,8,0,0,0,0,1xHcB3dGcWANeBntLEWlfxAHR9VPglTSf1qV_TquVnaleVjhdYso2U0Z8T6bHEsUCEQNdDppGEpQ7A,random gap,941,100,21812,15463,0,3391,0,2,18,0,9,True,4,0,0,6.0,0,0,2,0,0,1,0.7463590211665331
5,BR1_3050056172,2547,GameComplete,77,Udyr,9,0,4,4,False,False,False,False,15000,JUNGLE,3110,6653,3065,3047,8020,3075,3364,3,6,255,0,0,0,4FRogKJxnPLAzhOl4ofD-PN7j-TjWC2LTfxx-i32XL6-qvtHTQGIbUmJ2DCD2IOQW71Huxy7IeuXRA,HoiMainVayneNé,69,100,44466,59510,20,24796,0,0,20,5,3,True,14,1,1,2.2222222222222223,1,1,1,2,0,0,0.48913766714755313
6,BR1_3050036130,1651,GameComplete,11,MasterYi,9,1,3,2,True,False,False,False,9900,JUNGLE,6672,3006,1043,1037,1052,3153,3364,0,3,150,0,0,0,4FRogKJxnPLAzhOl4ofD-PN7j-TjWC2LTfxx-i32XL6-qvtHTQGIbUmJ2DCD2IOQW71Huxy7IeuXRA,HoiMainVayneNé,69,100,20681,33824,12,14590,0,2,16,3,2,True,14,2,1,1.8888888888888888,0,0,0,2,0,0,0.6119648881359644
7,BR1_3049885375,643,GameComplete,11,MasterYi,0,0,2,0,False,False,True,False,2925,JUNGLE,1102,1037,1043,1042,1036,1001,3364,5,5,72,0,0,0,4FRogKJxnPLAzhOl4ofD-PN7j-TjWC2LTfxx-i32XL6-qvtHTQGIbUmJ2DCD2IOQW71Huxy7IeuXRA,HoiMainVayneNé,69,200,3862,8967,8,6280,0,0,5,1,1,True,0,1,1,5.0,2,0,2,3,0,2,0.49406534198046453
8,BR1_3049881606,1442,GameComplete,77,Udyr,3,2,0,3,False,False,False,False,14950,JUNGLE,4401,3742,6653,3041,3111,8020,3364,18,21,152,0,0,0,4FRogKJxnPLAzhOl4ofD-PN7j-TjWC2LTfxx-i32XL6-qvtHTQGIbUmJ2DCD2IOQW71Huxy7IeuXRA,HoiMainVayneNé,69,100,37621,34665,42,22007,0,2,17,1,3,True,10,4,1,10.333333333333334,5,2,6,5,0,4,0.7382646426552425
9,BR1_3049880183,986,GameComplete,11,MasterYi,0,1,3,0,False,True,True,False,6650,JUNGLE,0,3153,6690,1043,3047,1042,3364,6,6,116,0,0,0,4FRogKJxnPLAzhOl4ofD-PN7j-TjWC2LTfxx-i32XL6-qvtHTQGIbUmJ2DCD2IOQW71Huxy7IeuXRA,HoiMainVayneNé,69,100,7833,13910,8,10278,0,0,12,2,2,True,3,1,1,9.0,1,0,0,0,0,1,0.7367921530778558
